PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ALLSTAR
Moritz Wagner,2021,ORL,25,45,10,35,12.5,7.6,2.6,5.3,50,0.9,2.8,33.1,1.4,1.8,79.7,0.5,2,2.4,1.1,0.7,0.3,0.2,1.8,13,0,0,-1.6,0
Kyle Anderson,2021,MEM,28,47,31,16,21.7,7.6,3,7,43.1,0.6,1.7,33.3,1,1.6,63.6,0.9,4.3,5.2,2.7,1,1.1,0.6,1.5,22,2,0,0.4,0
Donte DiVincenzo,2021,SAC,25,20,13,7,20.8,7.5,2.4,7.3,32.2,1.3,4.6,27.2,1.6,1.8,88.6,1,2.7,3.7,2.1,1.5,0.9,0.2,1.4,16.6,0,0,-1.6,0
Precious Achiuwa,2021,TOR,22,48,30,18,23.1,7.5,3.1,7.3,42.3,0.4,1.2,30.5,0.9,1.6,57.9,2.2,4.7,6.9,1.1,1,0.5,0.6,2,19.7,5,0,0.5,0
Grant Williams,2021,BOS,23,55,32,23,23.2,7.5,2.5,5.2,49,1.6,3.5,44.6,0.8,0.9,89.8,0.8,2.5,3.2,1.1,0.7,0.5,0.7,2.3,15.9,0,0,0.7,0
Kenrich Williams,2021,OKC,27,49,17,32,21.9,7.4,3,6.5,46.1,0.8,2.5,33.9,0.6,1.1,54.5,1.5,3,4.5,2.2,0.9,0.9,0.2,1.7,18.5,0,0,0.5,0
Isaiah Hartenstein,2021,LAC,24,47,25,22,16.1,7.4,3.1,5,62.1,0.1,0.2,44.4,1.1,1.7,66.7,1.5,2.9,4.4,1.9,1.1,0.7,1.1,2.4,20,1,0,3.4,0
Josh Christopher,2021,HOU,20,50,13,37,16.5,7.4,2.8,6.2,45.2,0.8,2.4,32.2,1,1.3,77.3,0.7,1.4,2.1,1.7,1.4,0.8,0.1,1.1,14.1,0,0,-3.6,0
Dwight Powell,2021,DAL,30,59,35,24,20.6,7.4,2.8,4.3,64.9,0.2,0.5,38.7,1.6,2.2,74.4,2,2.4,4.4,1.1,0.8,0.5,0.4,2.5,16.3,0,0,0.6,0
Landry Shamet,2021,PHX,25,45,37,8,19.8,7.4,2.4,6.4,37,1.6,4.5,35.3,1,1.2,85.2,0.2,1.7,1.9,1.6,0.5,0.5,0.1,1.2,13.1,0,0,2.6,0
Wes Iwundu,2021,ATL,27,3,2,1,27.4,7.3,2.7,6,44.4,1,1.7,60,1,1.3,75,1,3.3,4.3,0,0.3,0.3,0,2.7,13.2,0,0,0,0
Obi Toppin,2021,NYK,24,54,23,31,15.1,7.3,2.8,5.6,51,0.4,1.7,22.6,1.2,1.6,75,0.9,2.6,3.6,0.9,0.8,0.3,0.4,1.4,14.2,1,0,2.3,0
Ziaire Williams,2021,MEM,20,40,26,14,21.5,7.3,2.9,6.5,44.1,1.1,3.7,28.4,0.5,0.6,76,0.3,1.5,1.8,0.9,0.6,0.6,0.2,2,12.3,0,0,0.8,0
Jeremy Lamb,2021,SAC,30,40,16,24,16.1,7.3,2.2,6,37.2,1.1,3.1,33.6,1.8,2.1,84.3,0.4,2.1,2.5,1.4,0.6,0.6,0.4,1.1,14.7,0,0,1.8,0
Joe Ingles,2021,POR,34,45,28,17,24.9,7.2,2.6,6.3,40.4,1.7,5,34.7,0.4,0.5,77.3,0.3,2.6,2.9,3.5,1,0.5,0.1,1.8,16.8,0,0,4.1,0
Oshae Brissett,2021,IND,24,47,14,33,20.3,7.2,2.5,6.1,40.8,0.9,2.8,33.3,1.3,2,63.4,1.5,3.2,4.7,0.8,0.8,0.6,0.4,1.4,16.2,2,0,-2.5,0
Jarred Vanderbilt,2021,MIN,23,54,29,25,26,7.2,3,5,59.6,0,0.2,18.2,1.1,1.7,65.6,3.1,5.7,8.8,1.4,1,1.5,0.7,2.5,25.4,7,0,2.4,0
R.J. Hampton,2021,ORL,21,42,6,36,19.4,7.2,2.5,6.7,38.2,0.9,2.5,36.4,1.1,1.9,60.8,0.3,2.6,2.9,2.4,1.3,0.7,0.2,1.5,15.6,0,0,-6.7,0
Aaron Wiggins,2021,OKC,23,34,9,25,22.4,7.1,2.6,5.7,46.4,0.8,2.6,30.7,1.1,1.5,70.6,0.9,2.5,3.4,1.1,0.8,0.7,0.2,2,14.9,0,0,-2.6,0
Jeremiah Robinson-Earl,2021,OKC,21,44,13,31,23,7.1,2.7,6.6,40.1,1.1,3.4,33.3,0.7,1,71.4,1.6,4.2,5.8,1,0.8,0.6,0.3,1.7,17.6,3,0,-5.3,0
Ty Jerome,2021,OKC,24,48,15,33,16.7,7.1,2.6,6.8,37.8,1.1,3.9,29,0.8,1,80.9,0.4,1.2,1.6,2.3,0.8,0.6,0.1,1.5,13.9,0,0,-0.1,0
George Hill,2021,MIL,36,41,27,14,25.5,7,2.5,5.7,43.6,0.9,2.9,31.6,1.2,1.2,96,0.9,2.4,3.2,2.5,0.9,0.8,0.1,1.4,16.6,0,0,7.7,0
Steven Adams,2021,MEM,28,56,37,19,26.1,7,2.8,5,54.6,0,0,0,1.5,2.7,55.6,4.5,5.1,9.6,3.2,1.6,0.9,0.7,1.9,26.4,11,0,4.7,0
Sekou Doumbouya,2021,LAL,21,2,0,2,8.2,7,2.5,4,62.5,0.5,1,50,1.5,2,75,1,2,3,0,1,1.5,1,0.5,17.1,0,0,12,0
Isaiah Roby,2021,OKC,24,22,4,18,15.1,7,2.8,5.4,51.3,0.6,1.5,40.6,0.8,1.2,66.7,1.4,2.3,3.7,0.7,0.8,0.6,0.5,1.9,14.7,1,0,-1.6,0
Josh Jackson,2021,SAC,25,40,8,32,17.8,6.9,2.6,6.3,40.7,0.8,2.9,26.1,1,1.4,71.4,0.4,2.7,3.1,1.2,1,0.5,0.5,1.8,14.4,0,0,-3.7,0
Larry Nance Jr.,2021,NOP,29,37,14,23,23.2,6.9,2.8,5.4,51.5,0.5,1.7,30.6,0.9,1.3,65.3,1.6,4.1,5.6,2,0.7,1,0.4,1.8,20,0,0,-1.4,0
Gary Payton II,2021,GSW,29,56,40,16,16.6,6.8,2.8,4.6,61.9,0.6,1.7,36.2,0.5,0.9,58,1,2.5,3.5,0.8,0.5,1.4,0.3,1.6,16.8,1,0,2.4,0
